Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int","Volume Open Interest Ratio",IV,Type,"Last Trade","Avg IV"
382.00,+1.96%,15.16,15.50,15.83,15.23,-8.76,-36.52%,1,8,19.59%,Call,12/15/22,20.70%
382.50,+1.83%,14.84,15.18,15.52,14.91,-11.72,-44.01%,1,2,19.56%,Call,12/15/22,20.70%
383.00,+1.70%,14.53,14.86,15.18,16.13,16.13,unch,6,0,20.05%,Call,12/15/22,20.70%
384.00,+1.44%,13.90,14.23,14.55,24.04,0.00,unch,0,9,19.98%,Call,12/14/22,20.70%
385.00,+1.19%,13.29,13.61,13.92,14.21,-8.11,-36.34%,12,17,19.89%,Call,12/15/22,20.70%
386.00,+0.93%,12.69,13.00,13.31,13.51,-7.17,-34.67%,22,12,19.81%,Call,12/15/22,20.70%
387.00,+0.67%,12.10,12.41,12.71,13.07,-8.43,-39.21%,8,2,19.72%,Call,12/15/22,20.70%
387.50,+0.55%,11.82,12.11,12.40,12.52,12.52,unch,1,0,19.67%,Call,12/15/22,20.70%
388.00,+0.42%,11.53,11.82,12.11,12.20,-6.62,-35.18%,317,9,19.62%,Call,12/15/22,20.70%
389.00,+0.16%,11.00,11.27,11.54,11.90,-5.93,-33.26%,101,7,19.56%,Call,12/15/22,20.70%
390.00,-0.09%,10.52,10.69,10.86,10.82,-6.97,-39.18%,205,42,19.66%,Call,12/15/22,20.70%
391.00,-0.35%,9.98,10.15,10.32,10.46,-10.24,-49.47%,80,6,19.32%,Call,12/15/22,20.70%
392.00,-0.61%,9.45,9.62,9.79,9.67,-9.38,-49.24%,310,8,19.30%,Call,12/15/22,20.70%
392.50,-0.74%,9.19,9.36,9.53,9.41,9.41,unch,21,0,19.25%,Call,12/15/22,20.70%
393.00,-0.86%,8.94,9.11,9.28,9.30,-7.12,-43.36%,118,48,19.11%,Call,12/15/22,20.70%
394.00,-1.12%,8.45,8.61,8.78,8.80,-5.20,-37.14%,88,23,19.01%,Call,12/15/22,20.70%
395.00,-1.38%,7.96,8.13,8.30,8.72,-4.78,-35.41%,147,246,18.90%,Call,12/15/22,20.70%
396.00,-1.63%,7.50,7.67,7.83,8.06,-5.66,-41.25%,37,117,18.80%,Call,12/15/22,20.70%
397.00,-1.89%,7.05,7.22,7.38,7.90,-5.34,-40.33%,28,94,18.69%,Call,12/15/22,20.70%
397.50,-2.02%,6.83,7.00,7.16,7.05,-5.06,-41.78%,29,23,18.74%,Call,12/15/22,20.70%
382.00,-1.96%,8.01,8.08,8.15,8.09,3.48,+75.49%,24,69,22.56%,Put,12/15/22,20.70%
382.50,-1.83%,8.19,8.26,8.33,4.81,0.00,unch,0,256,22.49%,Put,12/14/22,20.70%
383.00,-1.70%,8.37,8.44,8.51,8.22,3.23,+64.73%,103,70,22.44%,Put,12/15/22,20.70%
384.00,-1.44%,8.73,8.81,8.88,8.63,2.88,+50.09%,89,15,22.34%,Put,12/15/22,20.70%
385.00,-1.19%,9.11,9.18,9.26,8.91,3.49,+64.39%,"5,733",761,22.23%,Put,12/15/22,20.70%
386.00,-0.93%,9.50,9.58,9.66,9.57,3.95,+70.28%,69,67,22.11%,Put,12/15/22,20.70%
387.00,-0.67%,9.91,9.99,10.06,9.88,4.07,+70.05%,112,163,22.03%,Put,12/15/22,20.70%
387.50,-0.55%,10.11,10.19,10.27,9.95,3.86,+63.38%,153,284,21.97%,Put,12/15/22,20.70%
388.00,-0.42%,10.33,10.41,10.48,10.28,4.71,+84.56%,408,67,21.93%,Put,12/15/22,20.70%
389.00,-0.16%,10.76,10.84,10.92,10.59,3.95,+59.49%,907,77,21.83%,Put,12/15/22,20.70%
390.00,+0.09%,11.21,11.29,11.37,11.13,4.24,+61.54%,"1,346",910,21.74%,Put,12/15/22,20.70%
391.00,+0.35%,11.67,11.75,11.83,11.48,3.58,+45.32%,193,96,21.64%,Put,12/15/22,20.70%
392.00,+0.61%,12.15,12.23,12.31,12.06,4.77,+65.43%,220,231,21.55%,Put,12/15/22,20.70%
392.50,+0.74%,12.40,12.48,12.56,12.34,4.63,+60.05%,35,17,21.51%,Put,12/15/22,20.70%
393.00,+0.86%,12.65,12.73,12.81,12.22,4.93,+67.63%,149,164,21.47%,Put,12/15/22,20.70%
394.00,+1.12%,13.16,13.24,13.32,12.88,4.39,+51.71%,127,224,21.38%,Put,12/15/22,20.70%
395.00,+1.38%,13.69,13.77,13.85,13.40,5.08,+61.06%,366,387,21.31%,Put,12/15/22,20.70%
396.00,+1.63%,13.97,14.31,14.64,13.70,5.00,+57.47%,506,584,21.21%,Put,12/15/22,20.70%
397.00,+1.89%,14.52,14.87,15.21,14.81,5.50,+59.08%,45,334,21.03%,Put,12/15/22,20.70%
397.50,+2.02%,14.80,15.15,15.50,14.31,4.93,+52.56%,20,100,21.10%,Put,12/15/22,20.70%
"Downloaded from Barchart.com as of 12-15-2022 08:33pm CST"
